JD_TDB,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d,r_au
2460778.5,1.365342407313758,-7.033224426321953,0.403238071160645,-0.01375774780322299,0.03181588228059839,-0.001426341510645978,7.175862781732553
2460779.5,1.351584112584917,-7.001405722187899,0.4018115675699755,-0.01375884240148117,0.0318215351124068,-0.001426666246756235,7.141982514394057
2460780.5,1.337824721020423,-6.969581337716265,0.4003847375059406,-0.01375994147078723,0.03182724308732997,-0.001426994466476657,7.108104314459934
2460781.5,1.324064228160807,-6.937751217366715,0.3989575774574464,-0.01376104498762499,0.03183300700233062,-0.001427326224962,7.074228239389731
2460782.5,1.310302629571212,-6.905915304794353,0.3975300838576756,-0.0137621529262705,0.03183882766960762,-0.001427661578510239,7.040354348015873
2460783.5,1.296539920843646,-6.874073542834322,0.3961022530829283,-0.01376326525869706,0.03184470591695184,-0.001428000584592064,7.006482700580472
2460784.5,1.282776097599339,-6.842225873486025,0.3946740814514357,-0.0137643819544762,0.03185064258811229,-0.001428343301881259,6.97261335877326
2460785.5,1.269011155491191,-6.810372237896983,0.3932455652221413,-0.01376550298067437,0.03185663854317246,-0.001428689790286006,6.938746385770698
2460786.5,1.255245090206335,-6.778512576346301,0.3918167005934477,-0.01376662830174545,0.0318626946589373,-0.001429040110981114,6.904881846276301
2460787.5,1.241477897468801,-6.746646828227759,0.390387483701939,-0.01376775787941852,0.03186881182933102,-0.001429394326441282,6.871019806562224
2460788.5,1.227709573042303,-6.714774932032479,0.3889579106210566,-0.01376889167258093,0.03187499096580616,-0.00142975250047535,6.837160334512142
2460789.5,1.213940112733135,-6.682896825331191,0.387527977359753,-0.0137700296371564,0.03188123299776402,-0.001430114698261652,6.803303499665496
2460790.5,1.200169512393205,-6.651012444756072,0.386097679861103,-0.01377117172597796,0.03188753887298697,-0.00143048098638444,6.769449373263117
2460791.5,1.186397767923189,-6.61912172598214,0.3846670140008794,-0.01377231788865524,0.03189390955808291,-0.001430851432871511,6.735598028294315
2460792.5,1.172624875275821,-6.587224603708205,0.3832359755860864,-0.01377346807143611,0.03190034603894202,-0.001431226107233039,6.701749539545459
2460793.5,1.158850830459328,-6.555321011637346,0.3818045603534618,-0.01377462221706213,0.03190684932120642,-0.001431605080501655,6.667903983650113
2460794.5,1.145075629541011,-6.523410882456927,0.3803727639679323,-0.0137757802646176,0.03191342043075297,-0.001431988425273861,6.634061439140793
2460795.5,1.131299268650982,-6.491494147818113,0.37894058202103,-0.01377694214937181,0.03192006041418945,-0.001432376215752832,6.600221986502385
2460796.5,1.117521743986059,-6.459570738314878,0.3775080100292589,-0.01377810780261391,0.03192677033936478,-0.001432768527792661,6.566385708227298
2460797.5,1.103743051813832,-6.427640583462513,0.3760750434324269,-0.01377927715148013,0.03193355129589337,-0.001433165438944146,6.532552688872424
2460798.5,1.089963188476906,-6.395703611675589,0.374641677591922,-0.01378045011877266,0.03194040439569439,-0.00143356702850215,6.498723015117956
2460799.5,1.076182150397333,-6.363759750245368,0.3732079077889455,-0.01378162662276981,0.03194733077354588,-0.001433973377554658,6.4648967758281355
2460800.5,1.062399934081225,-6.331808925316677,0.3717737292226916,-0.01378280657702647,0.03195433158765483,-0.00143438456903358,6.431074062114031
2460801.5,1.048616536123595,-6.299851061864171,0.3703391370084808,-0.01378398989016428,0.03196140802024335,-0.001434800687767455,6.397254967398372
2460802.5,1.034831953213388,-6.267886083668031,0.3689041261758347,-0.01378517646565076,0.03196856127815163,-0.001435221820536074,6.3634395874825715
2460803.5,1.021046182138755,-6.235913913289023,0.3674686916664918,-0.01378636620156617,0.03197579259345896,-0.001435648056127155,6.329628020615969
