JD_TDB,x_au,y_au,z_au,vx_au_d,vy_au_d,vz_au_d,ax_au_d2,ay_au_d2,az_au_d2,r_au
2460813.5,0.0142286896632758,-33.59619067027464,-20.05768526003323,0.001087553778200201,-0.01667671149817659,-0.009125573432341586,0.0,0.0,0.0,39.12818636225825
2460814.5,0.01531624295959995,-33.61286730303404,-20.06681078382918,0.001087552805928062,-0.01667655405168356,-0.009125474176098507,0.0,0.0,0.0,39.1471835251615
2460815.5,0.01640379525855631,-33.62954377844085,-20.07593620841854,0.001087551783952457,-0.01667639679370929,-0.00912537501922014,0.0,0.0,0.0,39.16618054489177
2460816.5,0.01749134651202444,-33.64622009668561,-20.08506153390089,0.001087550715560512,-0.01667623972818508,-0.009125275962119058,0.0,0.0,0.0,39.18517742160164
2460817.5,0.01857889667554129,-33.6628962579626,-20.09418676037619,0.001087549604786009,-0.01667608285877397,-0.009125177005253593,0.0,0.0,0.0,39.20417415544717
2460818.5,0.01966644570906025,-33.67957226246961,-20.10331188794497,0.00108754845642782,-0.01667592618869775,-0.009125078149115399,0.0,0.0,0.0,39.223170746587904
2460819.5,0.02075399357770831,-33.69624811040732,-20.11243691670817,0.00108754727602612,-0.01667576972054024,-0.00912497939421128,0.0,0.0,0.0,39.24216719518615
2460820.5,0.02184154025249303,-33.71292380197859,-20.1215618467673,0.001087546069783635,-0.01667561345603823,-0.00912488074103893,0.0,0.0,0.0,39.26116350140653
2460821.5,0.02292908571089889,-33.72959933738752,-20.13068667822431,0.001087544844421734,-0.0166754573958761,-0.009124782190057,0.0,0.0,0.0,39.280159665415084
2460822.5,0.02401662993730511,-33.74627471683829,-20.13981141118161,0.001087543606966923,-0.0166753015395076,-0.009124683741651016,0.0,0.0,0.0,39.29915568737825
2460823.5,0.02510417292315601,-33.76294994053384,-20.1489360457419,0.001087542364471935,-0.01667514588502956,-0.009124585396097529,0.0,0.0,0.0,39.318151567461676
2460824.5,0.02619171466682568,-33.77962500867456,-20.15806058200813,0.001087541123684985,-0.01667499042913492,-0.009124487153529983,0.0,0.0,0.0,39.33714730582911
2460825.5,0.02727925517313635,-33.79629992145677,-20.16718502008328,0.001087539890695286,-0.01667483516716553,-0.009124389013910602,0.0,0.0,0.0,39.35614290264092
2460826.5,0.02836679445252482,-33.81297467907159,-20.1763093600702,0.001087538670587676,-0.01667468009327239,-0.009124290977011834,0.0,0.0,0.0,39.37513835805304
2460827.5,0.02945433251988478,-33.82964928170377,-20.1854336020714,0.001087537467148519,-0.01667452520068373,-0.009124193042411367,0.0,0.0,0.0,39.39413367221594
2460828.5,0.03054186939315566,-33.84632372953095,-20.19455774618892,0.001087536282656173,-0.01667437048205662,-0.009124095209501666,0.0,0.0,0.0,39.41312884527382
2460829.5,0.031629405091757,-33.86299802272335,-20.20368179252405,0.001087535117788969,-0.01667421592987388,-0.009123997477514058,0.0,0.0,0.0,39.432123877364255
2460830.5,0.03271693963499178,-33.87967216144375,-20.21280574117729,0.00108753397164827,-0.01667406153685402,-0.009123899845554381,0.0,0.0,0.0,39.45111876861815
2460831.5,0.03380447304053283,-33.89634614584789,-20.22192959224818,0.001087532841905399,-0.01667390729631648,-0.009123802312646366,0.0,0.0,0.0,39.47011351916001
2460832.5,0.03489200532310395,-33.91301997608527,-20.23105334583526,0.001087531725036545,-0.01667375320248038,-0.00912370487777767,0.0,0.0,0.0,39.48910812910854
2460833.5,0.03597953649342926,-33.92969365230017,-20.24017700203608,0.001087530616618401,-0.01667359925066697,-0.009123607539943563,0.0,0.0,0.0,39.508102598577615
2460834.5,0.03706706655749249,-33.94636717463277,-20.24930056094718,0.001087529511646527,-0.0166734454374018,-0.009123510298184551,0.0,0.0,0.0,39.52709692767715
2460835.5,0.03815459551611186,-33.96304054322039,-20.25842402266419,0.001087528404843468,-0.01667329176042361,-0.009123413151615417,0.0,0.0,0.0,39.54609111651426
2460836.5,0.03924212336480724,-33.97971375819866,-20.26754738728187,0.001087527290931457,-0.01667313821861633,-0.009123316099444712,0.0,0.0,0.0,39.5650851651943
2460837.5,0.04032965009391532,-33.99638681970264,-20.27667065489431,0.001087526164854181,-0.01667298481188643,-0.009123219140985165,0.0,0.0,0.0,39.58407907382184
2460838.5,0.04141717568889824,-34.01305972786771,-20.28579382559488,0.001087525021941537,-0.0166728315410077,-0.009123122275656117,0.0,0.0,0.0,39.603072842501525
2460839.5,0.0425047001307888,-34.02973248283042,-20.29491689947649,0.001087523858018784,-0.01667267840745333,-0.009123025502979897,0.0,0.0,0.0,39.62206647133884
2460840.5,0.04359222339671957,-34.04640508472905,-20.30403987663159,0.001087522669466609,-0.01667252541323064,-0.00912292882257387,0.0,0.0,0.0,39.64105996044065
2460841.5,0.04467974546049138,-34.06307753370411,-20.3131627571523,0.001087521453241155,-0.01667237256072902,-0.009122832234139898,0.0,0.0,0.0,39.66005330991565
2460842.5,0.04576726629314559,-34.07974982989862,-20.32228554113046,0.00108752020686433,-0.01667221985258733,-0.00912273573745266,0.0,0.0,0.0,39.67904651987468
2460843.5,0.04685478586351616,-34.09642197345833,-20.33140822865774,0.001087518928392279,-0.01667206729158278,-0.009122639332347747,0.0,0.0,0.0,39.69803959043093
2460844.5,0.04794230413874247,-34.11309396453179,-20.34053081982564,0.00108751761637185,-0.01667191488054224,-0.009122543018710464,0.0,0.0,0.0,39.717032521700034
2460845.5,0.04902982108473505,-34.12976580327035,-20.34965331472562,0.001087516269789628,-0.01667176262227381,-0.009122446796465613,0.0,0.0,0.0,39.73602531380009
2460846.5,0.0501173366665888,-34.14643748982817,-20.35877571344902,0.001087514888019375,-0.01667161051951522,-0.009122350665568517,0.0,0.0,0.0,39.75501796685167
2460847.5,0.05120485084894397,-34.16310902436209,-20.36789801608719,0.001087513470769151,-0.01667145857489877,-0.009122254625997328,0.0,0.0,0.0,39.77401048097777
2460848.5,0.05229236359629602,-34.17978040703152,-20.37702022273145,0.001087512018033642,-0.01667130679092688,-0.009122158677746748,0.0,0.0,0.0,39.79300285630368
2460849.5,0.05337987487325928,-34.19645163799828,-20.38614233347313,0.001087510530048901,-0.0166711551699576,-0.009122062820822696,0.0,0.0,0.0,39.81199509295688
2460850.5,0.05446738464478817,-34.2131227174265,-20.39526434840354,0.001087509007252881,-0.0166710037141979,-0.00912196705523823,0.0,0.0,0.0,39.8309871910669
2460851.5,0.0555548928763614,-34.22979364548242,-20.40438626761405,0.001087507450250613,-0.0166708524257012,-0.009121871381010178,0.0,0.0,0.0,39.849979150765286
2460852.5,0.05664239953413343,-34.24646442233429,-20.41350809119601,0.00108750585978413,-0.01667070130636986,-0.009121775798156637,0.0,0.0,0.0,39.86897097218535
2460853.5,0.05772990458505835,-34.26313504815214,-20.42262981924083,0.001087504236706704,-0.01667055035795945,-0.00912168030669501,0.0,0.0,0.0,39.887962655462104
2460854.5,0.05881740799698994,-34.27980552310773,-20.43175145183987,0.001087502581960985,-0.01667039958208507,-0.009121584906640574,0.0,0.0,0.0,39.90695420073212
2460855.5,0.05990490973876153,-34.29647584737432,-20.44087298908458,0.001087500896560736,-0.01667024898022875,-0.009121489598005433,0.0,0.0,0.0,39.92594560813342
2460856.5,0.06099240978024922,-34.31314602112664,-20.44999443106636,0.001087499181575346,-0.01667009855374714,-0.009121394380797813,0.0,0.0,0.0,39.94493687780536
2460857.5,0.06207990809242087,-34.32981604454069,-20.45911577787665,0.001087497438116999,-0.01666994830387954,-0.009121299255021548,0.0,0.0,0.0,39.963928009888534
2460858.5,0.06316740464737342,-34.34648591779364,-20.46823702960687,0.001087495667330021,-0.01666979823175568,-0.009121204220675805,0.0,0.0,0.0,39.982919004524625
2460859.5,0.06425489941836039,-34.36315564106378,-20.47735818634848,0.001087493870381931,-0.01666964833840334,-0.00912110927775492,0.0,0.0,0.0,40.00190986185642
